sentence,emotion
How dare they lie to my face like that!,anger
I used to look forward to mornings but now I just dread them.,sadness
There was mold all over the leftovers in the fridge.,disgust
I was trembling with rage by the time the meeting ended.,anger
She updated the spreadsheet and shared it with the team.,neutral
My grandmother is gone and the silence in her house is deafening.,sadness
I can't stop thinking about what could go wrong — the worry is consuming me.,fear
My child called out from the dark room and I sprinted with my heart pounding.,fear
Driving through the storm with zero visibility was absolutely terrifying.,fear
The meeting has been rescheduled to Thursday.,neutral
The overflowing trash cans outside the restaurant were covered in flies.,disgust
I cried myself to sleep thinking about what we lost.,sadness
I've been wearing the same clothes for days and can't find the energy to care.,sadness
I never thought I'd see them win the championship — unbelievable!,surprise
I feel a fire in my chest every time I think about the injustice of it.,anger
How could they just cancel everything without even telling me?,anger
Every small victory my child has makes me feel like I've won everything.,joy
My best friend just told me she's pregnant — I'm overjoyed!,joy
The garbage has been sitting outside for days and it reeks.,disgust
My heart swells every time I watch him take his first steps.,joy
The server migration was completed during the maintenance window.,neutral
The dog had rolled in something dead and the smell was overwhelming.,disgust
The dumpster behind the restaurant overflowed with festering food waste.,disgust
She betrayed my trust and I will never forgive her for it.,anger
Finishing a good book on a rainy day makes me feel so content.,joy
Sometimes I wonder if anyone would notice if I just disappeared.,sadness
The dish had an odd slimy texture that made everyone put their forks down.,disgust
I want to scream — they did it again without asking me!,anger
I heard a strange noise downstairs in the middle of the night.,fear
My stomach dropped when the elevator stopped between floors.,fear
I couldn't sleep because I kept imagining the worst possible outcomes.,fear
Every shadow in the room made me panic after watching that film.,fear
They announced my name as the winner and I froze.,surprise
They showed up at my doorstep completely unannounced — what a shock!,surprise
The conference room is available from two to four.,neutral
The rollercoaster drop made my stomach lurch with terror.,fear
The trash bag burst open and spilled rotting food everywhere.,disgust
They offered me the job on the spot — I was completely taken aback.,surprise
I froze when I heard an unfamiliar voice in the next room.,fear
He stopped eating and barely gets out of bed since she left.,sadness
There was grease and grime caked all over the stove — absolutely disgusting.,disgust
They went behind my back and I will not let this go.,anger
The package was delivered to the front door.,neutral
We stayed up all night talking and laughing — those are the best nights.,joy
I stormed out of the meeting before I said something I'd regret.,anger
Hearing a child laugh freely is one of the most beautiful sounds.,joy
The quarterly budget report was reviewed by the committee.,neutral
Volunteering at the shelter gave me a warmth I hadn't felt in years.,joy
I just got promoted at work and I can't stop smiling!,joy
Watching the sunset after a long week fills me with genuine peace.,joy
He cut me off in traffic and I just lost it.,anger
The new policy takes effect from the first of next month.,neutral
A package arrived with no return address — I had no idea what was inside.,surprise
She whispered that she missed me and it broke my heart completely.,sadness
He attended the onboarding session on his first day.,neutral
The absence of her laughter in the house makes everything feel hollow.,sadness
I could feel my pulse in my throat as I waited for the results.,fear
I had a nightmare so vivid I couldn't go back to sleep.,fear
The fish market in summer heat is an assault on the senses.,disgust
I feel a heavy emptiness in my chest that won't go away.,sadness
She called the helpdesk and logged a support ticket.,neutral
My hands won't stop shaking before the job interview.,fear
Waking up on a sunny morning with no plans is pure bliss.,joy
The smell coming from the dumpster was absolutely nauseating.,disgust
We danced in the rain and it was absolutely magical.,joy
Running a personal best after months of training brought me to tears of joy.,joy
I look at the chair where he used to sit and I just break down.,sadness
Finishing my novel after three years feels like pure euphoria.,joy
I pounded on the wall so hard my knuckles bled.,anger
She tries to smile but her eyes are always so sad.,sadness
I feel like I'm mourning someone who is still alive.,sadness
The package contained a handwritten letter from my childhood hero.,surprise
I was so angry I couldn't even form the words to respond.,anger
Looking at the infected wound made me feel physically ill.,disgust
They made the decision without consulting me and I am livid.,anger
I thought I had failed the exam but I got the highest score in the class.,surprise
Every time he speaks I feel my blood pressure rise.,anger
I sat in the waiting room convinced something was terribly wrong.,fear
How could anyone do something so cruel and then act so normal?,anger
The public bathroom was so filthy I couldn't step inside.,disgust
I opened the box and found a puppy inside!,surprise
Reaching the mountain peak with my friends was the happiest I've been.,joy
I stopped reaching out because I always end up feeling more alone.,sadness
The pus oozing from the infected cut was horrifying to look at.,disgust
I'm so proud of myself for finally finishing the marathon!,joy
The flight departs at noon from terminal B.,neutral
My sister flew in from across the country just to surprise me.,surprise
My heart hammered as I listened to someone trying to pick the lock.,fear
I'm seething — they took credit for my work again!,anger
The train arrives at platform 4 at 6:15.,neutral
Being cheered on by strangers at the finish line was incredibly moving.,joy
The compost bin was overflowing with rotten scraps and it turned my stomach.,disgust
I am absolutely furious about the way they treated him.,anger
We walked in expecting a normal dinner and found a room full of decorations.,surprise
I can't believe they threw me a surprise party!,surprise
"I feel invisible, like nothing I do matters to anyone.",sadness
She confirmed the appointment via email last week.,neutral
The library closes at nine on weekdays.,neutral
I felt a cold wave of dread wash over me when the lights went out.,fear
The sour smell of spoiled milk lingered in the kitchen all day.,disgust
I saved all her voicemails so I can hear her voice one more time.,sadness
The approval was granted after the review board met.,neutral
The invoice was processed and sent to the accounts team.,neutral
The projector was set up before the presentation began.,neutral
The report was submitted before the deadline.,neutral
"I didn't know they were recording me, so when they played it back I was stunned.",surprise
I had to pull over because my vision blurred from anxiety.,fear
I feel like I'm drowning and everyone around me is just watching.,sadness
I can't believe they had the nerve to ask me for a favor after that.,anger
There was a dead fish floating in the fish tank — it was horrifying.,disgust
My heart feels so full being surrounded by my family.,joy
The system backup runs automatically every Sunday night.,neutral
I lit up when he walked into the room — I've missed him so much.,joy
I slammed my fist on the table when I found out.,anger
The stray animal had open wounds that were crawling with flies.,disgust
I refuse to tolerate that kind of disrespect from anyone.,anger
The cafeteria food smelled so bad I lost my appetite immediately.,disgust
He replied to the text message within a few minutes.,neutral
I replay the last conversation we had over and over in my head.,sadness
They blamed me for their mistake and I'm absolutely furious.,anger
I kept hearing footsteps behind me in the empty parking lot.,fear
The sewage spill left a sickening stench across the whole street.,disgust
The garbage disposal gurgled up something black and putrid.,disgust
I didn't expect anyone to remember my birthday — I was so moved.,surprise
I scroll through old pictures and smile through the tears.,sadness
I opened my email and there was a scholarship offer I never applied for.,surprise
She ran into her arms and held on for what felt like forever.,joy
She sits by the window for hours with a look of quiet despair.,sadness
I reported their behavior and I hope there are consequences.,anger
I had no idea they were planning a trip for me.,surprise
She clung to me and refused to let go when she sensed something was wrong.,fear
My application was rejected but then they called back the next day to offer me a better role.,surprise
I thought it was just a regular dinner until everyone jumped out.,surprise
Don't you dare speak to my mother like that ever again.,anger
He had secretly arranged for all my college friends to fly in.,surprise
Walking alone in that dark alley made my heart race.,fear
Dancing with my daughter at her wedding was the best moment of my life.,joy
I feel like I'm just going through the motions these days.,sadness
The slime on the kitchen drain was truly revolting.,disgust
She sent the document via email this morning.,neutral
The public restroom smelled so foul I had to cover my nose.,disgust
The turbulence on the flight had me gripping the armrest.,fear
I expected bad news but they told me the tumor was completely gone.,surprise
The roadkill on the highway was in an advanced state of decay.,disgust
Nobody told me she was coming back — I was stunned!,surprise
My coworkers threw a going-away party I had absolutely no idea about.,surprise
She appeared at my window in the middle of the night — I nearly fainted.,surprise
My kids running toward me at the airport made me burst into happy tears.,joy
I keep checking the locks twice before going to bed.,fear
He forwarded the email to the relevant department.,neutral
The septic tank overflow left a vile brown sludge across the yard.,disgust
The vendor submitted the invoice with the correct billing details.,neutral
He raised his voice at her in front of everyone — I was disgusted.,anger
"After years of sending scripts, a director finally called to say yes.",surprise
She walked through the door after five years and I was speechless.,surprise
The analyst compiled the data and presented findings to the team.,neutral
My chest tightened when the doctor said they needed more tests.,fear
I keep waiting for him to walk through the door like nothing happened.,sadness
The expired milk curdled and the smell made me gag.,disgust
My dog passed away yesterday and I feel completely lost.,sadness
Some nights the loneliness is so heavy I can barely breathe.,sadness
I felt completely helpless when the fire alarm went off at 3 AM.,fear
He slammed the door so hard the windows rattled.,anger
Getting a hug from an old friend after years apart is priceless.,joy
I'm at my wit's end — nobody listens no matter what I say!,anger
I expected the worst review of my career and got a standing ovation instead.,surprise
He left without saying goodbye and now I can't reach him.,sadness
She screamed when she saw the shadow move across the wall.,fear
I walked in expecting a normal day and found my team had decorated my desk for my birthday.,surprise
I felt a rush of pure gratitude watching everyone I love in one room.,joy
My breath caught when I noticed someone following me down the street.,fear
I couldn't breathe when I thought I heard someone try the door.,fear
The bus stop is located two blocks from the office.,neutral
Stop talking over me — I'm so tired of being ignored!,anger
She laughed so hard her sides hurt for hours.,joy
He sat alone in the empty house staring at the walls.,sadness
She gripped my arm as we watched the horror scenes unfold on screen.,fear
I thought I was alone in the office until I turned around.,surprise
Everything reminds me of him and it breaks me every time.,sadness
The manager reviewed the feedback before the quarterly session.,neutral
The basement had a thick layer of black mold covering the walls.,disgust
I found a dead rat behind the stove — it was revolting.,disgust
Watching the sunrise with a hot cup of tea feels like heaven.,joy
She stares at old photos and weeps quietly every night.,sadness
He submitted the application form on Monday.,neutral
Seeing my newborn baby for the first time was an indescribable joy.,joy
I picked up the groceries on the way home.,neutral
Hearing my favorite song made me tear up with happiness.,joy
He lied to my face again and I'm done pretending it's okay.,anger
